project_filename,use,source_platform,original_title,author,license_type,commercial_use,attribution_required,modification_allowed,packaging_allowed,generation_date,notes
assets/audio/bgm/bgm_start_shell_theme.wav,bgm,Original procedural audio generated for this prototype,bgm_start_shell_theme.wav,OpenAI ChatGPT session for Haicheng MVP prototype,"Generated prototype asset, no third-party source",Prototype-generated; no external royalty source used,No external attribution required,Yes,Yes,2026-04-28,Replace with separately verified CC0/Public Domain/free-commercial music for final release if desired.
assets/audio/bgm/bgm_beach_dusk.wav,bgm,Original procedural audio generated for this prototype,bgm_beach_dusk.wav,OpenAI ChatGPT session for Haicheng MVP prototype,"Generated prototype asset, no third-party source",Prototype-generated; no external royalty source used,No external attribution required,Yes,Yes,2026-04-28,Replace with separately verified CC0/Public Domain/free-commercial music for final release if desired.
assets/audio/bgm/bgm_workshop_warm_craft.wav,bgm,Original procedural audio generated for this prototype,bgm_workshop_warm_craft.wav,OpenAI ChatGPT session for Haicheng MVP prototype,"Generated prototype asset, no third-party source",Prototype-generated; no external royalty source used,No external attribution required,Yes,Yes,2026-04-28,Replace with separately verified CC0/Public Domain/free-commercial music for final release if desired.
assets/audio/bgm/bgm_market_warm_night.wav,bgm,Original procedural audio generated for this prototype,bgm_market_warm_night.wav,OpenAI ChatGPT session for Haicheng MVP prototype,"Generated prototype asset, no third-party source",Prototype-generated; no external royalty source used,No external attribution required,Yes,Yes,2026-04-28,Replace with separately verified CC0/Public Domain/free-commercial music for final release if desired.
assets/audio/bgm/bgm_lion_teaser_sting.wav,bgm,Original procedural audio generated for this prototype,bgm_lion_teaser_sting.wav,OpenAI ChatGPT session for Haicheng MVP prototype,"Generated prototype asset, no third-party source",Prototype-generated; no external royalty source used,No external attribution required,Yes,Yes,2026-04-28,Replace with separately verified CC0/Public Domain/free-commercial music for final release if desired.
assets/audio/ambience/amb_ocean_waves_loop.wav,ambience,Original procedural audio generated for this prototype,amb_ocean_waves_loop.wav,OpenAI ChatGPT session for Haicheng MVP prototype,"Generated prototype asset, no third-party source",Prototype-generated; no external royalty source used,No external attribution required,Yes,Yes,2026-04-28,Replace with separately verified CC0/Public Domain/free-commercial music for final release if desired.
assets/audio/ambience/amb_sea_wind_loop.wav,ambience,Original procedural audio generated for this prototype,amb_sea_wind_loop.wav,OpenAI ChatGPT session for Haicheng MVP prototype,"Generated prototype asset, no third-party source",Prototype-generated; no external royalty source used,No external attribution required,Yes,Yes,2026-04-28,Replace with separately verified CC0/Public Domain/free-commercial music for final release if desired.
assets/audio/ambience/amb_workshop_room_loop.wav,ambience,Original procedural audio generated for this prototype,amb_workshop_room_loop.wav,OpenAI ChatGPT session for Haicheng MVP prototype,"Generated prototype asset, no third-party source",Prototype-generated; no external royalty source used,No external attribution required,Yes,Yes,2026-04-28,Replace with separately verified CC0/Public Domain/free-commercial music for final release if desired.
assets/audio/ambience/amb_workshop_shell_craft_loop.wav,ambience,Original procedural audio generated for this prototype,amb_workshop_shell_craft_loop.wav,OpenAI ChatGPT session for Haicheng MVP prototype,"Generated prototype asset, no third-party source",Prototype-generated; no external royalty source used,No external attribution required,Yes,Yes,2026-04-28,Replace with separately verified CC0/Public Domain/free-commercial music for final release if desired.
assets/audio/ambience/amb_market_crowd_loop.wav,ambience,Original procedural audio generated for this prototype,amb_market_crowd_loop.wav,OpenAI ChatGPT session for Haicheng MVP prototype,"Generated prototype asset, no third-party source",Prototype-generated; no external royalty source used,No external attribution required,Yes,Yes,2026-04-28,Replace with separately verified CC0/Public Domain/free-commercial music for final release if desired.
assets/audio/ambience/amb_porridge_pot_loop.wav,ambience,Original procedural audio generated for this prototype,amb_porridge_pot_loop.wav,OpenAI ChatGPT session for Haicheng MVP prototype,"Generated prototype asset, no third-party source",Prototype-generated; no external royalty source used,No external attribution required,Yes,Yes,2026-04-28,Replace with separately verified CC0/Public Domain/free-commercial music for final release if desired.
assets/audio/sfx/sfx_shell_glow.wav,sfx,Original procedural audio generated for this prototype,sfx_shell_glow.wav,OpenAI ChatGPT session for Haicheng MVP prototype,"Generated prototype asset, no third-party source",Prototype-generated; no external royalty source used,No external attribution required,Yes,Yes,2026-04-28,Replace with separately verified CC0/Public Domain/free-commercial music for final release if desired.
assets/audio/sfx/sfx_transition_white.wav,sfx,Original procedural audio generated for this prototype,sfx_transition_white.wav,OpenAI ChatGPT session for Haicheng MVP prototype,"Generated prototype asset, no third-party source",Prototype-generated; no external royalty source used,No external attribution required,Yes,Yes,2026-04-28,Replace with separately verified CC0/Public Domain/free-commercial music for final release if desired.
assets/audio/sfx/sfx_letter_open.wav,sfx,Original procedural audio generated for this prototype,sfx_letter_open.wav,OpenAI ChatGPT session for Haicheng MVP prototype,"Generated prototype asset, no third-party source",Prototype-generated; no external royalty source used,No external attribution required,Yes,Yes,2026-04-28,Replace with separately verified CC0/Public Domain/free-commercial music for final release if desired.
assets/audio/sfx/sfx_shell_curtain.wav,sfx,Original procedural audio generated for this prototype,sfx_shell_curtain.wav,OpenAI ChatGPT session for Haicheng MVP prototype,"Generated prototype asset, no third-party source",Prototype-generated; no external royalty source used,No external attribution required,Yes,Yes,2026-04-28,Replace with separately verified CC0/Public Domain/free-commercial music for final release if desired.
assets/audio/sfx/sfx_shell_slide.wav,sfx,Original procedural audio generated for this prototype,sfx_shell_slide.wav,OpenAI ChatGPT session for Haicheng MVP prototype,"Generated prototype asset, no third-party source",Prototype-generated; no external royalty source used,No external attribution required,Yes,Yes,2026-04-28,Replace with separately verified CC0/Public Domain/free-commercial music for final release if desired.
assets/audio/sfx/sfx_shell_tap.wav,sfx,Original procedural audio generated for this prototype,sfx_shell_tap.wav,OpenAI ChatGPT session for Haicheng MVP prototype,"Generated prototype asset, no third-party source",Prototype-generated; no external royalty source used,No external attribution required,Yes,Yes,2026-04-28,Replace with separately verified CC0/Public Domain/free-commercial music for final release if desired.
assets/audio/sfx/sfx_cat_meow.wav,sfx,Original procedural audio generated for this prototype,sfx_cat_meow.wav,OpenAI ChatGPT session for Haicheng MVP prototype,"Generated prototype asset, no third-party source",Prototype-generated; no external royalty source used,No external attribution required,Yes,Yes,2026-04-28,Replace with separately verified CC0/Public Domain/free-commercial music for final release if desired.
assets/audio/sfx/sfx_hairpin_complete.wav,sfx,Original procedural audio generated for this prototype,sfx_hairpin_complete.wav,OpenAI ChatGPT session for Haicheng MVP prototype,"Generated prototype asset, no third-party source",Prototype-generated; no external royalty source used,No external attribution required,Yes,Yes,2026-04-28,Replace with separately verified CC0/Public Domain/free-commercial music for final release if desired.
assets/audio/sfx/sfx_bowl_place.wav,sfx,Original procedural audio generated for this prototype,sfx_bowl_place.wav,OpenAI ChatGPT session for Haicheng MVP prototype,"Generated prototype asset, no third-party source",Prototype-generated; no external royalty source used,No external attribution required,Yes,Yes,2026-04-28,Replace with separately verified CC0/Public Domain/free-commercial music for final release if desired.
assets/audio/sfx/sfx_duck_cut.wav,sfx,Original procedural audio generated for this prototype,sfx_duck_cut.wav,OpenAI ChatGPT session for Haicheng MVP prototype,"Generated prototype asset, no third-party source",Prototype-generated; no external royalty source used,No external attribution required,Yes,Yes,2026-04-28,Replace with separately verified CC0/Public Domain/free-commercial music for final release if desired.
assets/audio/sfx/sfx_steam_rise.wav,sfx,Original procedural audio generated for this prototype,sfx_steam_rise.wav,OpenAI ChatGPT session for Haicheng MVP prototype,"Generated prototype asset, no third-party source",Prototype-generated; no external royalty source used,No external attribution required,Yes,Yes,2026-04-28,Replace with separately verified CC0/Public Domain/free-commercial music for final release if desired.
assets/audio/sfx/sfx_drum_low_hit.wav,sfx,Original procedural audio generated for this prototype,sfx_drum_low_hit.wav,OpenAI ChatGPT session for Haicheng MVP prototype,"Generated prototype asset, no third-party source",Prototype-generated; no external royalty source used,No external attribution required,Yes,Yes,2026-04-28,Replace with separately verified CC0/Public Domain/free-commercial music for final release if desired.
assets/audio/sfx/sfx_lion_eye_open.wav,sfx,Original procedural audio generated for this prototype,sfx_lion_eye_open.wav,OpenAI ChatGPT session for Haicheng MVP prototype,"Generated prototype asset, no third-party source",Prototype-generated; no external royalty source used,No external attribution required,Yes,Yes,2026-04-28,Replace with separately verified CC0/Public Domain/free-commercial music for final release if desired.
